day,TIN-Influent,TON-Influent,TIP-Influent,TOP-Influent,TIC-Influent,TOC-Influent,TIN-effluent,TON-effluent,TIP-effluent,TOP-effluent,TIC-effluent,TOC-effluent,Biomass,Carbohydrates,Cyanobacteria,Green algae,Diatom,Protozoa
0,61.20,40.45,5.14,2.55,,,,3.15,3.15,0.00,,,0.02,15.25,11.89,,,
1,,,,,60.50,266.20,0.09,,,,3.05,11.57,,,,,,
2,62.69,34.59,7.20,4.40,,,2.26,2.85,2.85,0.00,,,0.02,14.55,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,51.38,171.20,0.00,,,,,,,,,,,
5,91.73,70.98,11.17,8.17,,,,2.40,2.40,0.00,,,0.03,,11.89,9.06,8.08,8.28
6,,,,,86.75,171.70,,,,,9.21,6.04,,,,,,
7,58.78,26.97,,,,,0.14,,,,,,,,,8.80,7.98,7.38
8,,,13.09,10.00,,,,4.47,4.47,2.45,,,0.03,10.31,11.90,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,63.67,130.40,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,57.64,17.65,,,,,0.35,,,,,,,17.27,,9.06,8.56,7.98
13,,,13.09,9.91,,,,1.25,1.25,0.00,,,0.03,,11.92,,,
14,59.85,,,,,,4.53,,,,,,,,,,,
15,,,,,,,,,,,,,0.05,,11.93,9.33,9.08,7.86
16,,,,,69.94,85.67,,,,,0.00,36.21,,,,,,
17,,,6.92,4.22,,,,2.81,2.81,1.25,,,0.05,,,,,
18,,,,,,,,,,,,,,,,,,
19,61.20,23.30,,,,,0.00,,,,,,,,,,,
20,,,5.14,2.00,,,,1.59,1.59,0.00,,,0.06,23.93,,,,
21,,,,,,,,,,,,,0.05,,11.91,9.47,8.64,7.38
22,,,,,76.09,126.56,,,,,3.14,36.28,,,,,,
23,,,,,,,,,,,,,0.04,,,,,
24,,,5.83,2.23,,,,1.62,1.62,0.00,,,,,,,,
25,,,,,,,,,,,,,,37.19,,,,
26,,,,,81.68,,,,,,,,0.06,,11.92,9.58,7.98,7.68
27,,,8.57,5.70,,171.20,,1.85,1.85,0.00,4.52,43.68,,,,,,
28,62.69,22.10,,,,,2.87,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,91.73,45.47,9.80,7.67,81.69,171.70,0.19,2.08,2.08,0.00,1.53,10.60,0.04,47.96,11.91,9.39,8.66,8.28
