day,TIN-Influent,TON-Influent,TIP-Influent,TOP-Influent,TIC-Influent,TOC-Influent,TIN-effluent,TON-effluent,TIP-effluent,TOP-effluent,TIC-effluent,TOC-effluent,Biomass,Carbohydrates,Cyanobacteria,Green algae,Diatom,Protozoa
0,61.20,40.45,5.14,2.55,,,,7.05,7.05,1.75,,,0.02,14.63,11.89,,,
1,,,,,60.50,266.20,0.05,,,,5.38,12.49,,,,,,
2,62.69,34.59,7.20,4.40,,,0.09,4.38,4.38,0.22,,,0.02,3.96,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,51.38,171.20,0.34,,,,,,,,,,,
5,91.73,70.98,11.17,8.17,,,,3.02,3.02,0.00,,,0.04,9.22,11.89,9.11,7.98,0.00
6,,,,,86.75,171.70,,,,,4.05,20.69,,,,,,
7,58.78,26.97,,,,,2.01,,,,,,,,,9.30,8.87,8.23
8,,,13.09,10.00,,,,2.28,2.28,0.55,,,0.04,5.15,11.90,,,
9,,,,,,,,,,,,,,,,,,
10,,,,,63.67,130.40,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,57.64,17.65,,,,,0.04,,,,,,,,,9.31,8.72,7.98
13,,,13.09,9.91,,,,2.16,2.16,1.73,,,0.03,17.78,11.89,,,
14,59.85,,,,,,7.10,,,,,,,,,,,
15,,,,,,,,,,,,,0.05,,11.90,8.96,8.59,8.08
16,,,,,69.94,85.67,,,,,2.71,28.89,,,,,,
17,,,6.92,4.22,,,,3.10,3.10,1.15,,,0.05,,,,,
18,,,,,,,,,,,,,,,,,,
19,61.20,23.30,,,,,8.85,,,,,,,,,,,
20,,,5.14,2.00,,,,5.42,5.42,1.95,,,0.08,7.15,,,,
21,,,,,,,,,,,,,0.07,,11.93,8.66,8.34,7.98
22,,,,,76.09,126.56,,,,,6.54,39.05,,,,,,
23,,,,,,,,,,,,,0.06,,,,,
24,,,5.83,2.23,,,,2.51,2.51,0.00,,,,32.41,,,,
25,,,,,,,,,,,,,,,,,,
26,,,,,81.68,,,,,,,,0.08,,11.92,8.81,8.08,7.98
27,,,8.57,5.70,,171.20,,2.21,2.21,0.00,5.21,22.27,,,,,,
28,62.69,22.10,,,,,0.22,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,91.73,45.47,9.80,7.67,81.69,171.70,0.22,1.91,1.91,0.00,3.04,11.77,0.06,33.79,11.93,9.86,8.93,8.28
