day,TIN-Influent,TON-Influent,TIP-Influent,TOP-Influent,TIC-Influent,TOC-Influent,TIN-effluent,TON-effluent,TIP-effluent,TOP-effluent,TIC-effluent,TOC-effluent,Biomass,Carbohydrates,Cyanobacteria,Green algae,Diatom,Protozoa
0,57.64,13.41,6.24,3.57,77.56,85.67,0.00,0.00,4.04,0.00,10.90,5.10,0.06,30.76,11.93,9.24,7.48,7.86
1,,,,,,,,,,,,,,,,,,
2,55.02,,2.26,2.50,,,2.95,,3.19,0.00,0.00,0.00,,,,,,
3,,,,,,170.30,,,,,0.00,0.00,0.05,15.61,11.91,9.48,7.98,8.16
4,,11.62,4.32,1.47,81.82,,9.34,0.00,2.34,0.00,0.00,1.29,,,,,,
5,64.21,,,,,,,,,,,0.00,,,,,,
6,,,,,,,,,,,,,,,,,,
7,65.46,7.97,7.61,4.85,84.50,117.30,27.32,0.00,1.81,0.00,0.00,0.00,,20.96,11.98,9.52,8.59,7.68
8,,,,,,,,,,,,,0.05,,,,,
9,,,3.91,1.11,89.07,106.30,27.67,0.00,2.50,0.00,0.00,0.00,,,,,,
10,,,,,,,,,,,,,0.05,,11.93,9.95,9.21,7.86
11,,37.54,4.87,1.61,74.41,139.80,25.14,0.00,2.38,0.00,0.00,1.20,,16.44,,,,
12,61.47,,,,,,,,,,,,0.06,,,,,
13,,,,,,,,,,,,,,,,,,
14,69.60,,4.73,1.45,81.94,107.80,23.14,0.00,3.21,0.00,0.00,0.00,,17.00,11.90,9.43,8.72,7.98
15,,,,,,,,,,,,,0.05,,,,,
16,,16.16,5.96,3.29,86.98,96.83,37.12,0.49,4.04,0.00,1.20,0.00,,,,,,
17,,,,,,,,,,,,,0.06,,11.93,9.60,8.80,8.16
18,,,6.51,3.75,,,27.44,,3.19,0.00,,,,17.07,,,,
19,65.72,19.87,,,88.48,128.00,,0.00,,,0.00,0.00,0.07,,,,,
20,,,,,,,,,,,,,,15.07,,,,
21,68.77,21.61,6.24,3.39,93.53,106.00,27.32,0.00,4.57,2.23,0.00,0.00,0.08,,11.91,9.35,8.66,8.28
22,,22.09,,,,,,0.00,,,0.00,0.00,,,,,,
23,,,5.28,2.00,,,28.12,,7.15,5.07,,,0.06,16.81,11.92,9.23,8.74,8.08
24,78.21,26.99,,,,,,,,,0.00,0.00,0.05,,,,,
25,,,4.73,1.01,,,27.53,,6.24,4.43,,,,14.12,11.90,9.30,8.16,7.86
